항상	항상/부사
적정	적정/명사
타이어	타이어/명사
공기압을	공기압/명사+을/조사
유지하십시오.	유지하/어간+십시오/어미+./마침표
올바른	올바/어간+른/어미
운전자세가	운전자세/합성명사+가/조사
되도록	되/어간+도록/어미
운전석과	운전석/명사+과/조사
스티어링	스티어링/명사
휠을	휠/명사+을/조사
조절하십시오.	조절하/어간+십시오/어미+./마침표
차를	차/보통명사+를/조사
평평한	평평한/형용사
장소에	장소/명사+에/조사
주차시킨	주차/명사+시/어간+킨/선어말어미
후,	후/명사+,/쉼표
엔진	엔진/명사
시동을	시동/명사+을/조사
끄고	끄/어간+고/어미
5분	5/수사+분/명사
후에	후/명사+에/조사
점검하십시오.	점검하/어간+십시오/어미+./마침표
높이를	높이/명사+를/조사
조절할	조절/어간+할/어미
수	수/의존명사
있는	있/어간+는/어미
스티어링	스티어링/명사
휠은	휠/명사+은/조사
반드시	반드시/부사
주행	주행/명사
전에	전/명사+에/부사
신체에	신체/명사+에/부사
알맞게	알맞게/부사
조절하십시오.	조절하/어간+십시오/어미+./마침표
약물을	약물/명사+을/조사
복용하고	복용하/어간+고/어미
운전하는	운전하/어간+는/어미
것은	것/의존명사+은/조사
복용한	복용/어간+한/어미
약물의	약물/명사+의/조사
종류와	종류/명사+와/조사
양에	양/명사+에/조사
따라	따/어간+라/어미
음주운전보다도	음주운전/합성명사+보다/조사+도/보조사
위험할	위험/어간+할/어미
수	수/의존명사
있으므로	있/어간+으므로/어미
약물	약물/명사
복용	복용/명사
후에는	후/명사+에/조사+는/보조사
차량을	차량/명사+을/조사
운행하지	운행하/어간+지/어미
마십시오.	마/어간+십시오/어미+./마침표
